time,Consumption
0.0,0.05616897426262503
0.5,0.05410729223519086
1.0,0.053007001392438906
1.5,0.05078517702650065
2.0,0.04870577009514887
2.5,0.045836505516457696
3.0,0.04295581466074807
3.5,0.041605083360014776
4.0,0.04136677901829152
4.5,0.04055985266437534
5.0,0.04133104212098365
5.5,0.04101034126402887
6.0,0.04048335090450994
6.5,0.04250181094081007
7.0,0.04072943153936816
7.5,0.03824129034348748
8.0,0.03715583620861572
8.5,0.03438696660306037
9.0,0.03206257268941978
9.5,0.029771684847240597
10.0,0.028089463005026263
10.5,0.036033477497460616
11.0,0.03924933547155139
11.5,0.03683300061256953
12.0,0.03318223498363999
12.5,0.03272037328137095
13.0,0.03304468576680356
13.5,0.031853826742030925
14.0,0.03084422961683022
14.5,0.03100768997228727
15.0,0.03180328716537569
15.5,0.031248102434613644
16.0,0.03285084486497853
16.5,0.03429298134620624
17.0,0.03745291862664232
17.5,0.04191129528841883
18.0,0.04351118561349484
18.5,0.04626529561822033
19.0,0.050824360893913616
19.5,0.053767700730933975
20.0,0.055237922728938564
20.5,0.05721480532123902
21.0,0.05751503358843286
21.5,0.058437502916281164
22.0,0.06013110971984117
22.5,0.06055887355488572
23.0,0.06029762448642667
23.5,0.058265495179165364
